"cpc_subclass","year","appearance_count","appearance_count_log","alt_count","alt_log","group_count","group_log","yearly_degree","cumulative_degree","yearly_degree_log","cumulative_degree_log","degree","closeness","betweenness","eigenvector","degree_log","closeness_log","betweenness_log","eigenvector_log","funded_count","funded_log","log_economic_output","section","class","closeness_sqrt","eigenvector_sqrt","alt_sqrt"
"A01B",2005,180,5.19849703126583,11,2.484906649788,322,5.77765232322266,35,35,3.58351893845611,3.58351893845611,70,0,175.12354339004,0.0184412813697812,4.26267987704132,0,5.1711856998655,0.0182733029557995,20,3.04452243772342,12.6121642240314,"A","A01",0,0.135798679558312,3.3166247903554
"A01C",2005,146,4.99043258677874,11,2.484906649788,147,4.99721227376411,28,28,3.36729582998647,3.36729582998647,56,0,229.281230966694,0.0154986726110499,4.04305126783455,0,5.43930130531483,0.0153797949089889,35,3.58351893845611,12.6121642240314,"A","A01",0,0.124493664943441,3.3166247903554
"A01D",2005,382,5.94803498918065,11,2.484906649788,512,6.24027584517077,50,50,3.93182563272433,3.93182563272433,100,0,286.237588207132,0.0266130289808585,4.61512051684126,0,5.66030970676881,0.0262650624534183,24,3.2188758248682,13.9153952084261,"A","A01",0,0.163135002316666,3.3166247903554
"A01F",2005,93,4.54329478227,11,2.484906649788,162,5.09375020080676,18,18,2.94443897916644,2.94443897916644,36,0,39.2890895792495,0.00909347810512376,3.61091791264422,0,3.69608070225521,0.00905238138661962,17,2.89037175789616,13.6989772117603,"A","A01",0,0.0953597299971207,3.3166247903554
"A01G",2005,267,5.59098698051086,11,2.484906649788,292,5.68017260901707,70,70,4.26267987704132,4.26267987704132,140,0,964.0749744399,0.0394613789292087,4.94875989037817,0,6.87220579204109,0.0387026741184671,118,4.77912349311153,12.9528674992447,"A","A01",0,0.198648883533758,3.3166247903554
"A01H",2005,507,6.23048144757848,11,2.484906649788,169,5.13579843705026,20,20,3.04452243772342,3.04452243772342,40,0,26.1073176188334,0.0103303481431671,3.71357206670431,0,3.29980371427123,0.0102773547444984,173,5.15905529921453,15.289212372718,"A","A01",0,0.101638320249634,3.3166247903554
"A01J",2005,34,3.55534806148941,11,2.484906649788,95,4.56434819146784,7,7,2.07944154167984,2.07944154167984,14,0,5.60133267373763,0.00378169631126178,2.70805020110221,0,1.88727154891251,0.00377456367442187,4,1.6094379124341,15.3851725951711,"A","A01",0,0.0614954983007845,3.3166247903554
"A01K",2005,1036,6.94408720822953,11,2.484906649788,609,6.41345895716736,110,110,4.70953020131233,4.70953020131233,220,0,3999.40695908815,0.0590560050377333,5.39816270151775,0,8.29415137469893,0.0573779500535253,1151,7.04925484125584,13.117331004115,"A","A01",0,0.243014413230436,3.3166247903554
"A01L",2005,12,2.56494935746154,11,2.484906649788,17,2.89037175789616,3,3,1.38629436111989,1.38629436111989,6,0,0,0.0025387487463005,1.94591014905531,0,0,0.00253553156762383,0,0,15.3851726951711,"A","A01",0,0.050385997522134,3.3166247903554
"A01M",2005,323,5.78074351579233,11,2.484906649788,169,5.13579843705026,53,53,3.98898404656427,3.98898404656427,106,0,523.188982915543,0.0293295465935325,4.67282883446191,0,6.26185227371985,0.0289076646601263,76,4.34380542185368,13.6194312286956,"A","A01",0,0.17125871246022,3.3166247903554
"A01N",2005,1054,6.96129604591017,11,2.484906649788,284,5.65248918026865,86,86,4.46590811865458,4.46590811865458,172,0,1427.77397531408,0.0495363131097716,5.15329159449778,0,7.26457199559051,0.0483484600704156,1134,7.0343879299155,15.1954299820414,"A","A01",0,0.222567547296931,3.3166247903554
"A21B",2005,55,4.02535169073515,2,1.09861228866811,54,4.00733318523247,14,14,2.70805020110221,2.70805020110221,28,0,31.6856802109795,0.00636858938664235,3.36729582998647,0,3.48693706795353,0.0063483956131407,4,1.6094379124341,15.3851725951711,"A","A21",0,0.0798034421979551,1.4142135623731
"A21C",2005,73,4.30406509320417,2,1.09861228866811,104,4.65396035015752,20,20,3.04452243772342,3.04452243772342,40,0,33.3115404403073,0.0108776899974924,3.71357206670431,0,3.53548175356891,0.0108189534887898,1,0.693147180559945,15.3851725951711,"A","A21",0,0.104296164826385,1.4142135623731
"A21D",2005,206,5.33271879326537,2,1.09861228866811,118,4.77912349311153,43,43,3.78418963391826,3.78418963391826,86,0,387.473905734819,0.0193208864958573,4.46590811865458,0,5.96222600084617,0.0191366080014788,33,3.52636052461616,15.3851725951711,"A","A21",0,0.138999591711117,1.4142135623731
"A22B",2005,39,3.68887945411394,1,0.693147180559945,58,4.07753744390572,21,21,3.09104245335832,3.09104245335832,42,0,70.3419786221534,0.0117560191310576,3.76120011569356,0,4.26748491464781,0.0116874539837744,5,1.79175946922805,15.3011736044117,"A","A22",0,0.108425177569869,1
"A22C",2005,101,4.62497281328427,1,0.693147180559945,177,5.18178355029209,33,33,3.52636052461616,3.52636052461616,66,0,118.439590936539,0.0198917391286861,4.20469261939097,0,4.78281072838029,0.0196964835540008,12,2.56494935746154,15.0796059318346,"A","A22",0,0.141038076875311,1
"A23B",2005,144,4.97673374242057,10,2.39789527279837,135,4.91265488573605,35,35,3.58351893845611,3.58351893845611,70,0,233.767310247202,0.0201368334788528,4.26267987704132,0,5.45859485444199,0.0199367687682736,47,3.87120101090789,15.0642725868194,"A","A23",0,0.141904310994602,3.16227766016838
"A23C",2005,151,5.02388052084628,10,2.39789527279837,257,5.55295958492162,25,25,3.25809653802148,3.25809653802148,50,0,32.1046402666083,0.0118395432118319,3.93182563272433,0,3.49967346188092,0.0117700041557315,47,3.87120101090789,15.3315042863211,"A","A23",0,0.108809665066261,3.16227766016838
